cod	lat	lng	intrusion	variation	flag_variation
03312	38.0485593	-0.9725085	4	13.0	neg
03313	37.9963122	-0.8865834	3	0.0	null
03314	38.0864348	-0.8627473	5	100.0	pos
03315	38.1966818	-0.9533984	2	2.5	pos
03320	38.2834589	-0.5920027	5	206.6	pos
03330	38.2478979	-0.8079772	3	26.0	pos
03339	38.2187978	-0.8198775	10	100.0	pos
03340	38.2077599	-0.8865834	7	120.6	pos
03348	38.1577251	-0.8698967	5	18.9	pos
03349	38.1817475	-0.8341624	6	0.0	null
03350	38.1390034	-0.9008917	5	170.3	pos
03360	38.128651	-0.8722801	3	18.0	neg
03369	38.1077191	-0.8436885	4	0.0	null
03370	38.1203433	-0.9223636	5	27.8	neg
03380	38.0732669	-0.8555992	1	0.0	null
03400	38.6289448	-0.8484524	1	29.2	neg
03410	38.6294701	-0.7722974	2	27.0	neg
03420	38.5776432	-0.6678177	2	0.0	null
03430	38.6405989	-0.6678177	1	49.7	neg
03440	38.6307459	-0.5446912	1	100.0	pos
03460	38.7238671	-0.762788	5	50.0	neg
03469	38.7026622	-0.8008388	22	100.0	pos
03500	38.4577578	30.2628111	3	45.8	pos
03501	38.5387774	-0.12961	5	13.2	pos
03502	38.5637027	-0.1448182	3	11.5	neg
03503	38.542747	-0.098043	4	36.7	neg
03508	-23.5360826	-46.5325103	28	0.0	null
03509	38.5793765	-0.1963364	6	0.0	null
03510	38.6424523	-0.102718	3	33.3	neg
03516	38.6318285	-0.2057108	16	0.0	null
03517	38.6736172	-0.2807868	16	0.0	null
03518	38.7053484	-0.102718	21	0.0	null
03520	38.6214109	-0.1588618	1	5.3	pos
03530	38.6057121	-0.1261013	3	145.4	pos
03540	38.3684934	-0.4219444	1	5.2	pos
03550	38.4053253	-0.4266584	1	41.8	neg
03559	38.3867699	-0.4620313	2	100.0	pos
03560	38.473851	-0.3842527	1	4.9	neg
03570	38.5162521	-0.2526163	1	30.8	pos
03578	38.5790294	-0.3465971	10	100.0	pos
03579	38.6002612	-0.2526163	4	100.0	pos
03580	38.5847483	-0.098043	4	0.0	null
03581	38.563771	-0.0700051	3	28.2	pos
03590	38.6215091	-0.0466559	7	0.0	null
03599	38.3881361	-0.4490575	3	0.0	null
03600	38.4716212	-0.8198775	1	14.0	neg
03610	38.5037223	-0.7342734	4	0.0	null
03630	38.5558135	-0.8008388	5	0.0	null
03638	38.5129618	-0.9152051	2	6.9	neg
03640	38.4185451	-0.8865834	3	33.9	neg
03650	38.3988134	-1.0466437	1	48.0	neg
03660	38.3877123	-0.7818089	6	132.7	pos
03669	38.344477	-0.9342973	6	425.3	pos
03670	38.3461808	-0.6867939	3	0.0	null
03679	38.388305	-0.6867939	2	6.7	pos
03680	38.3351158	-0.7722974	4	97.9	pos
03688	38.3026233	-0.8961217	2	0.0	null
03689	38.2758548	-0.9486223	1	46.5	neg
03690	38.4102285	-0.5163312	2	33.8	pos
03698	38.4516568	-0.6488505	3	96.6	pos
03699	38.3677611	-0.5920027	4	0.0	null
03700	38.8466543	0.0886948	1	28.1	neg
03709	38.8257591	0.0606637	2	15.9	neg
03710	38.6477333	0.0419877	2	38.4	neg
03720	38.6844314	0.0279867	2	9.0	pos
03724	38.7000866	0.1261013	1	15.9	pos
03725	38.7263003	0.102718	8	0.0	null
03726	38.7210186	0.1448182	1	0.0	null
03728	38.7525182	-0.0419877	11	100.0	pos
03729	38.7472871	0.0279867	7	100.0	pos
03730	38.789053	0.1588618	0	30.7	neg
03739	38.7471561	0.1775946	1	4.6	pos
03740	38.7682107	0.0653341	8	0.0	null
03750	38.7891572	0.0279867	5	100.8	pos
03759	38.7943901	-0.0233208	4	100.0	pos
03760	38.8257739	0.0139908	6	1.9	pos
03769	38.8257673	-0.0419877	12	0.0	null
03770	38.8466878	-0.004663	6	30.0	pos
03778	38.81793	-0.0116586	2	100.0	pos
03779	38.8571411	0.0139908	2	2.4	pos
03780	38.8518701	-0.102718	3	104.7	pos
03789	38.809978	-0.1588618	3	100.0	pos
03790	38.7806407	-0.0635827	1	3.9	pos
03792	38.7525048	-0.0700051	3	0.0	null
03800	38.512582	30.5394232	3	100.0	pos
03801	38.6913294	-0.4761893	5	0.0	null
03802	38.6952156	-0.4868112	8	0.0	null
03803	38.701789	-0.4809098	2	0.0	null
03804	38.7123233	-0.4667501	8	100.0	pos
03810	38.7099561	-0.3983829	25	0.0	null
03812	38.7415839	-0.3324856	33	0.0	null
03815	38.6629008	-0.3654204	12	100.0	pos
03818	38.6873164	-0.4962552	2	100.0	pos
03820	38.738618	-0.4384458	3	105.7	pos
