cod	lat	lng	intrusion	variation	flag_variation
08779	41.4611283	1.5305465	7	0.0	null
08120	41.5127697	2.2015347	2	45.6	neg
08185	41.5846483	2.2285864	3	1.6	pos
08450	41.6262792	2.3912362	1	44.4	neg
28027	40.4427203	-3.644582	2	27.4	neg
28024	40.3843127	-3.7993992	2	43.0	neg
08380	41.6528561	2.7630471	3	29.0	neg
08519	41.9541291	2.4011124	7	0.9	neg
08560	42.0111171	2.2778128	2	469.1	pos
08243	41.7209792	1.8464648	2	30.0	neg
08242	41.7411984	1.8269573	2	21.0	neg
08241	41.7215972	1.8074586	5	82.1	pos
08240	41.6986126	1.8440259	2	22.6	neg
08760	41.4803984	1.9148091	7	28.8	pos
08107	41.532089	2.235967	6	0.0	null
08508	42.0272145	2.2138289	7	11.8	neg
08320	41.4805684	2.3147677	1	20.7	neg
08783	41.4972029	1.8025852	2	19.1	neg
08303	41.5431825	2.428283	1	28.4	neg
08301	41.5427647	2.4480536	1	26.7	neg
08302	41.5330915	2.4332249	4	87.3	pos
08304	41.5600797	2.4554698	2	11.0	neg
08773	41.4798069	1.627507	1	46.7	neg
08180	41.8112127	2.0959429	3	4.6	neg
08750	41.4181889	2.0420152	4	2.7	pos
08100	41.5450948	2.2089109	2	21.2	neg
08691	41.611353	1.8464648	5	0.0	null
08110	41.4904225	2.1941598	6	0.0	null
08614	42.0550793	1.7441475	18	0.0	null
08585	42.1187436	2.2113698	80	100.0	pos
08390	41.4712564	2.2802755	3	0.0	null
08612	41.9956763	1.7441475	13	0.0	null
08160	41.5567683	2.2507317	1	37.2	neg
08170	41.5439491	2.2679632	5	36.4	neg
08270	41.7497243	1.9148091	9	0.0	null
08670	41.8953192	1.8220818	1	0.0	null
08711	41.6196377	1.627507	4	0.0	null
08734	41.3181561	1.7246856	1	0.0	null
08795	41.3561415	1.8611011	4	100.0	pos
08640	41.5555859	1.900155	4	3.0	neg
08818	41.3018445	1.8074586	4	0.0	null
08516	42.0045792	2.1008486	30	0.0	null
08389	41.6734928	2.7331928	5	150.7	pos
08184	41.59067	2.1744993	2	37.8	neg
08780	41.4190447	1.9930466	2	130.6	pos
08756	41.4120811	1.961246	1	1.1	neg
08754	41.4387219	2.0126276	5	0.0	null
08150	41.564686	2.2285864	2	84.9	pos
08589	42.0481265	2.1548473	5	0.0	null
08397	41.6350339	2.6735412	2	48.3	neg
08213	41.5560111	2.1597595	5	0.0	null
08254	41.7001107	1.9050391	3	111.0	pos
08738	41.4162825	1.5160212	17	100.0	pos
08820	41.3120158	2.0959429	4	54.0	pos
08513	41.9960792	2.0224213	3	100.0	pos
08281	41.7702607	1.5402327	6	100.0	pos
08338	41.5024115	2.3468195	2	30.1	pos
08330	41.4946642	2.3591531	1	21.5	neg
08692	41.9740306	1.8611011	2	1.5	neg
08299	41.6401585	1.9148091	19	100.0	pos
08416	41.7023001	2.2015347	3	0.0	null
08291	41.4960695	2.1597595	2	32.4	neg
08430	41.5875929	2.3320235	2	31.0	pos
08510	41.9856714	2.3123031	1	0.0	null
08812	41.2324752	1.7490143	0	1.9	neg
08191	41.4936457	2.0175242	2	27.7	pos
08202	41.5565589	2.1302944	6	61.9	pos
08208	41.5669037	2.1106617	3	26.8	neg
08204	41.5281384	2.1143422	4	30.9	neg
08206	41.5574545	2.0812289	3	21.5	neg
08201	41.5457977	2.1045283	2	16.0	pos
08205	41.5195982	2.1033017	3	22.2	neg
08203	41.5344043	2.1131154	3	57.4	pos
08207	41.5775971	2.0714223	3	48.9	neg
08757	41.4202064	1.9245812	0	49.2	neg
08650	41.8048278	1.8903882	3	1.5	pos
08930	41.4223872	2.2212071	4	40.3	neg
08740	41.4495705	1.9636914	3	33.9	pos
08392	41.579406	2.4851463	3	0.0	null
08459	41.6610643	2.396174	3	16.3	pos
08830	41.3327758	2.0567163	5	31.2	neg
08396	41.6414961	2.6090043	1	34.6	neg
08470	41.6826815	2.5495112	3	0.0	null
08849	41.3290475	1.9832594	7	0.0	null
08172	41.4699731	2.0836809	2	65.6	pos
08198	41.4399628	2.0836809	2	17.7	pos
08173	41.4573378	2.0910377	1	22.1	neg
08195	41.4705875	2.0493652	1	21.6	pos
08196	41.4345142	2.1082083	8	0.0	null
08174	41.4978645	2.0616178	1	14.2	neg
08798	41.3629043	1.7490143	7	0.0	null
08461	41.7102452	2.4258123	3	0.0	null
08635	41.4910385	1.8757422	0	93.9	pos
08182	41.6956211	2.1597595	1	100.0	pos
08980	41.3979911	2.0518154	1	32.0	neg
08105	41.5096571	2.2335066	1	26.6	neg
08272	41.755262	1.8806237	3	5.5	pos
08512	42.0156261	2.2371972	11	2.8	pos
08970	41.365393	2.0542658	4	59.3	pos
08504	41.9055695	2.3517526	3	0.0	null
08960	41.3876262	2.0714223	2	11.3	pos
08230	41.633763	1.9979411	2	0.0	null
08212	41.6827382	2.0469151	15	0.0	null
08250	41.7615593	1.7977124	1	0.0	null
08712	41.5613357	1.5111806	12	0.0	null
08731	41.3797106	1.627507	2	7.7	pos
08554	41.8441884	2.256885	13	0.0	null
08810	41.2570604	1.7830973	1	23.9	pos
08776	41.4637537	1.7003706	3	0.0	null
08458	41.7059896	2.3912362	2	271.5	pos
08799	41.3504866	1.7417143	5	0.0	null
08395	41.6064873	2.6139655	3	145.8	pos
08777	41.4543156	1.6614947	8	0.0	null
08580	42.1013063	2.2187476	3	0.0	null
08192	41.5276681	2.0714223	2	0.0	null
08253	41.6774553	1.7636181	1	0.0	null
08295	41.6707039	1.8757422	4	12.5	neg
08394	41.5789778	2.5049414	2	102.2	pos
08571	42.0633155	2.2655012	4	100.0	pos
08620	41.3888363	2.002836	2	22.1	neg
08690	41.36846	2.0224213	3	292.0	pos
08924	41.4653319	2.1990763	11	53.4	pos
08921	41.4538682	2.2101403	7	62.9	pos
08923	41.443817	2.2125994	5	92.0	pos
08920	19.3874666	-99.1169091	0	0.0	null
08922	41.4488664	2.2101403	4	44.8	neg
08515	42.0250906	2.0616178	200	100.0	pos
08505	41.9141041	2.1695855	8	0.0	null
08187	41.6493805	2.2335066	3	0.0	null
08710	41.5605599	1.5693045	6	0.0	null
08730	41.3140674	1.6614947	2	30.0	pos
08460	41.6848279	2.4505255	2	1.8	pos
08130	41.5356682	2.1794136	2	33.6	pos
08398	41.6545038	2.6934166	5	0.0	null
08181	41.6113574	2.1352039	5	135.3	pos
08870	41.2609286	1.8562218	2	8.0	neg
08739	41.3971439	1.8025852	7	100.0	pos
08260	41.8366507	1.7636181	3	10.8	neg
08593	41.7478053	2.2925911	9	0.0	null
08552	41.8670665	2.2925911	2	0.0	null
08511	42.0438683	2.3714901	9	0.0	null
08329	41.5030095	2.3172324	2	8.4	neg
08223	41.5509681	2.0248701	3	29.4	neg
08228	41.5381817	2.0420152	1	45.6	neg
08227	41.5679653	2.0518154	3	18.9	neg
08220	54.7085031	25.2872705	35	0.0	null
08226	41.5759282	2.0248701	4	0.0	null
08222	41.5659455	2.0248701	2	64.3	pos
08225	41.5942004	1.9783666	2	9.9	neg
08224	41.5490256	1.9930466	2	0.7	neg
08221	41.561125	2.0150758	3	73.3	pos
08391	41.4839972	2.2679632	1	14.1	pos
08551	41.848748	2.2138289	2	43.1	neg
08490	41.6994414	2.688447	4	60.5	pos
08570	42.0410065	2.2679632	1	1.8	neg
08789	41.5243069	1.6614947	1	100.0	pos
08775	41.4434555	1.7198215	6	50.0	neg
08737	41.40055	1.5693045	3	92.2	pos
08629	41.3592867	1.9734743	0	0.0	null
08231	41.5295517	1.9636914	3	114.3	pos
08233	41.5951917	1.9196949	1	200.7	pos
08197	41.4582155	2.0420152	2	49.5	pos
08410	41.5531532	2.3073743	2	4.2	neg
08471	41.6436961	2.5098914	3	0.0	null
08759	41.3752229	1.9196949	1	3.6	pos
08500	41.9273762	2.2531929	4	0.0	null
08840	41.2981089	2.0322172	5	4.5	pos
08232	41.5546052	1.9588007	0	100.0	pos
08720	41.3435845	1.7003706	5	12.0	neg
08455	41.6372336	2.4628871	7	0.0	null
08788	41.564678	1.6323607	11	18.5	neg
08800	41.2381518	1.7052325	5	17.4	pos
08339	41.5223953	2.3468195	4	0.0	null
08340	41.5041512	2.3838304	1	0.0	null
08735	41.3842357	1.6614947	5	100.0	pos
